agent,gender,age,status,origin
Nurse,female,old,chattel-slave,n/a
Leaders of the Samian colonists,male,mature/old,power-holder,Samian
Hector,male,mature,power-holder,Trojan
Antisthenes,male,mature,free,Athenian
Callias,male,adolescent,free,Athenian
A taxiarch,male,mature,free,Persian
Another taxiarch,male,mature,free,Persian
Nicobulus,male,mature,free,Athenian
Plaintiff,male,any adult age,free,Gortynian
Crito,male,old,free,Athenian
Epistatai of Eleusis,male,mature/old,free,Athenian
Representatives of the other Lesbians,male,mature/old,power-holder,Other Lesbian poleis
Representatives of the other Peloponnesians,male,mature/old,power-holder,various
Leptines,male,mature,free,Athenian
Envoys from the Ionian cities,male,mature/old,power-holder,various
Chorus of Satyrs,male,adolescent,chattel-slave,n/a
The mother,female,mature,free,Tenian
Nicomachides,male,mature,free,Athenian
Helot representatives,male,any adult age,semi-servile,n/a
Artapanus,male,mature,power-holder,Persian
Megabyzus,male,mature,power-holder,Persian
Artapanus' 3 sons,male,adolescent,free,Persian
Astyages,male,old,power-holder,Median
Judges,male,mature/old,free,Athenian
First Woman,female,mature,free,Athenian
Mannes,male,any adult age,free,unknown
Lycon,male,mature,free,Athenian
Officers,male,mature/old,free,Persian
Witnesses at a trial,male,mature,free,Ephesian
Bearded Man,male,old,free,Athenian?
Beardless Youth,male,adolescent,free,Athenian
Euclides,male,mature/old,free,Megarian
Terpsion,male,mature/old,free,Megarian
Lichas,male,mature,free,n/a
Deianeira,female,mature,free,n/a
Archons,male,mature/old,power-holder,Athenian
Amphitryon,male,mature,free,Tirynthian
Theban heralds,male,mature/old,power-holder,Theban
Pharnabazus,male,mature,power-holder,Persian
Men's leader,n/a,old,free,Athenian
Chief men of Arcadia,male,mature/old,power-holder,Arcadian
The friends of Aristogeiton,male,mature/old,free,Athenian
Eteocles,male,mature,power-holder,Theban
Carion,male,mature,chattel-slave,n/a
His dinner guests,male,any adult age,free,Median
Iris,female,mature,power-holder,n/a
Philoxenus of Leucas,male,mature,free,Leucadian
Audience,n/a,unknown,unknown,unknown
The gods,male) (n/a,any adult age,power-holder,n/a
The goddesses,female,any adult age,power-holder,n/a
The elder brother of the young man,male,adolescent/mature,free,Tenian
Ptolemy,male,mature,power-holder,Macedonian
Aristarchus,male,mature,free,Athenian
Aristides,male,adolescent,free,Athenian
The Ten Thousand,male,adolescent/mature,free,various
Pantaenetus,male,mature,free,Athenian
